[09/03/21 19:24:44:937 GMT]  INFO bundler.HostBundler: Searching for ContentletVersionInfo. Identifier: c5718930-7588-4003-b52a-23a7c9fa36f5. Language:1
[09/03/21 19:24:44:947 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:947 GMT]  INFO junit.RuleWatcher: >>> addLinkInBundle[0: com.dotcms.enterprise.publishing.remote.bundler.LinkBundlerTest$TestCase@33c474f9](com.dotcms.enterprise.publishing.remote.bundler.LinkBundlerTest) - starting...
[09/03/21 19:24:44:947 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:956 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:956 GMT]  INFO junit.RuleWatcher: >>> addLinkInBundle[1: com.dotcms.enterprise.publishing.remote.bundler.LinkBundlerTest$TestCase@71a8836f](com.dotcms.enterprise.publishing.remote.bundler.LinkBundlerTest) - starting...
[09/03/21 19:24:44:956 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:961 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:961 GMT]  INFO junit.RuleWatcher: >>> addRuleInBundle[0: com.dotcms.enterprise.publishing.remote.bundler.RuleBundlerTest$TestCase@7c1647a4](com.dotcms.enterprise.publishing.remote.bundler.RuleBundlerTest) - starting...
[09/03/21 19:24:44:961 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:964 GMT]  INFO caffine.CaffineCache: ***	 Building Cache : ruleconditiongroupscache, size:1000,Concurrency:32
[09/03/21 19:24:44:965 GMT]  INFO caffine.CaffineCache: ***	 Building Cache : ruleactionscache, size:1000,Concurrency:32
[09/03/21 19:24:44:977 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:977 GMT]  INFO junit.RuleWatcher: >>> addRuleInBundle[1: com.dotcms.enterprise.publishing.remote.bundler.RuleBundlerTest$TestCase@77ae80ae](com.dotcms.enterprise.publishing.remote.bundler.RuleBundlerTest) - starting...
[09/03/21 19:24:44:977 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:992 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:992 GMT]  INFO junit.RuleWatcher: >>> addTemplateInBundle[0: com.dotcms.enterprise.publishing.remote.bundler.TemplateBundlerTest$TestCase@67dd511e](com.dotcms.enterprise.publishing.remote.bundler.TemplateBundlerTest) - starting...
[09/03/21 19:24:44:992 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:999 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:44:999 GMT]  INFO junit.RuleWatcher: >>> addTemplateInBundle[1: com.dotcms.enterprise.publishing.remote.bundler.TemplateBundlerTest$TestCase@525b1571](com.dotcms.enterprise.publishing.remote.bundler.TemplateBundlerTest) - starting...
[09/03/21 19:24:44:999 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:45:004 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
