[11/03/21 18:38:54:828 GMT]  INFO util.StdOutErrLog: [class com.dotcms.publishing.GenerateBundlePublisher]
[11/03/21 18:38:54:829 GMT]  INFO util.PushPublishLogger: class com.dotcms.publishing.PublisherAPIImpl : [BundleID: 01F0H9B8BCBEPVM3596TYGJVVA] Started Publishing Task
[11/03/21 18:38:54:829 GMT]  INFO publishing.PublisherAPIImpl: Writing bundle.xml file
[11/03/21 18:38:54:831 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: DependencyBundler
[11/03/21 18:38:54:835 GMT]  INFO util.DependencyManager: PublisherFilter { excludeClassesSet = [] , excludeDependencyClassesSet = [] , excludeQueryIds = [] , excludeDependencyQueryIds = [] , relationships = true , dependencies = true}
[11/03/21 18:38:54:860 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: DependencyBundler
[11/03/21 18:38:54:860 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: HostBundler
[11/03/21 18:38:54:862 GMT]  INFO bundler.HostBundler: Searching for ContentletVersionInfo. Identifier: 8a7d5e23-da1e-420a-b4f0-471e7da8ea2d. Language:1
[11/03/21 18:38:54:867 GMT]  INFO bundler.HostBundler: Searching for ContentletVersionInfo. Identifier: 8a7d5e23-da1e-420a-b4f0-471e7da8ea2d. Language:1
[11/03/21 18:38:54:869 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: HostBundler
[11/03/21 18:38:54:869 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: RuleBundler
[11/03/21 18:38:54:871 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: RuleBundler
[11/03/21 18:38:54:871 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: BundleXMLAsc
[11/03/21 18:38:54:871 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: BundleXMLAsc
[11/03/21 18:38:54:872 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: CategoryBundler
[11/03/21 18:38:54:872 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: CategoryBundler
[11/03/21 18:38:54:872 GMT]  INFO publishing.GenerateBundlePublisher: Bundling Complete: /custom/assets/bundles/01F0H9B8BCBEPVM3596TYGJVVA
