[02/03/21 18:13:14:963 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[02/03/21 18:13:14:963 GMT]  INFO storage.FileMetadataAPIImpl:  `468512c0-423e-4f1a-b94c-7cf8b064260a` has these fields: `keywords,fileSize,author,width,contentType,content,height` 
[02/03/21 18:13:14:963 GMT]  INFO storage.StoragePersistenceProvider: Retrieving from storage: DB
[02/03/21 18:13:14:964 GMT]  WARN storage.FileStorageAPIImpl: Object identified by `/dotmetadata/com.dotcms.storage.StorageKey@2638260c` didn't exist in storage full-metadata will be generated.
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction: Transaction broken - Connection that started the transaction is not the same as the one who is commiting
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     java.lang.Thread.getStackTrace(Thread.java:1559)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     com.dotmarketing.db.LocalTransaction.wrapReturnWithListeners(LocalTransaction.java:57)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.wrapInTransaction(DataBaseStoragePersistenceAPIImpl.java:95)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.pushFile(DataBaseStoragePersistenceAPIImpl.java:364)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.pushObject(DataBaseStoragePersistenceAPIImpl.java:503)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileStorageAPIImpl.storeMetadata(FileStorageAPIImpl.java:260)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileStorageAPIImpl.generateMetaData(FileStorageAPIImpl.java:194)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileMetadataAPIImpl.generateFullMetadata(FileMetadataAPIImpl.java:186)
