[06/05/24 15:39:01:188 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Scheme 'Document Management_6_05062024_153901' [addbd732-6f55-48e8-a18b-26fb6753c68b]
[06/05/24 15:39:01:212 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '4a08b2a0-e6d1-4726-b200-cd80b17de80c' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:214 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '3e974e8c-1da2-4a28-85f5-15011bf37775' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:216 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: 'a1ef75e5-e8a2-441f-ac47-1b01eff676ac' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:218 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: 04572dbe-1e27-4a81-a93b-561f52529cdb, name: Archive has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:228 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '0cc8ac79-3630-4a47-8f7c-113bb3be3885' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:233 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '6ee2c6b3-a37d-4729-9bc9-f839d57b0f1c' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:236 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '89512437-9282-4745-9042-1228fd45a616' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:238 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '8e27953b-873d-4cb0-b600-6d77dcd4dd32' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:240 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: ed0b9eff-ba13-4ade-bab1-828a518ab22c, name: Full Delete has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:246 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '40eaa881-5bbe-4269-8542-5dfbe5cb57ad' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:249 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: 'eb4dd5c4-6e6c-4ca9-a5c5-1f856e613313' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:251 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '866fe27f-1a31-4d39-af4e-5d8e6eb58393' has been deleted -- ip:ukn,user:null
